Territorialidades,Esperança de vida ao nascer 2010,Mortalidade infantil 2010,Taxa de analfabetismo - 18 anos ou mais de idade 2010,Renda per capita 2010
Curitibanos (SC),75.78,12.5,8.48,687.47
Curitiba (PR),76.3,11.91,2.22,1581.04
Curiúva (PR),72.7,16,14.65,455.24
Currais Novos (RN),72.62,21.69,19.05,526.96
Currais (PI),69.55,29.2,35.25,168.68
Curral de Cima (PB),67.89,34.3,44.24,214.4
Curral de Dentro (MG),70.51,23.2,26.6,279.64
Curralinho (PA),71.15,23.5,23.32,188.88
Curralinhos (PI),70.7,25.7,33.43,193.65
Curral Novo do Piauí (PI),66.1,41.5,38.89,186.24
Curral Velho (PB),69.36,29.4,37.76,362.28
Curuá (PA),71.8,21.7,15.77,180.94
Curuçá (PA),70.48,25.4,11.73,233.96
Cururupu (MA),71.06,26.1,18.86,274.39
Curvelândia (MT),73.63,17.6,16.27,480.92
Curvelo (MG),76.05,13.8,8.35,581.65
Custódia (PE),67.33,35.7,28.93,350
Cutias (AP),70.58,23,12.5,287.41
Damianópolis (GO),73.91,14.7,20.91,364.51
Damião (PB),68.2,33.2,43.04,182.89
Damolândia (GO),74.14,14.4,13.87,578.93
Darcinópolis (TO),70.83,24.2,22.09,327.64
Dário Meira (BA),71.27,23.7,36.96,206.16
Datas (MG),70.36,23.5,11.62,313.84
David Canabarro (RS),77.2,10,7.86,798.91
Davinópolis (GO),76.72,11,15.69,632.22
Davinópolis (MA),69.84,29.9,27.18,263.12
Delfim Moreira (MG),75.2,15,9.82,454.36
Delfinópolis (MG),77.31,12,11.01,632.28
Delmiro Gouveia (AL),71.42,25.1,24.97,332.13
Delta (MG),73.46,17.8,13.92,523.34
Demerval Lobão (PI),71.88,22.4,27,311.48
Denise (MT),73.09,18.5,15.37,524.91
Deodápolis (MS),73.6,20.3,13.98,596.5
Deputado Irapuan Pinheiro (CE),69.52,27.9,35.13,233.15
Derrubadas (RS),75.74,11.8,10.5,497.31
Descalvado (SP),76.92,11,5.8,798.74
Descanso (SC),76.22,11.9,5.66,804.31
Descoberto (MG),72.85,18.9,9.02,477.97
Desterro de Entre Rios (MG),73.14,18.4,15.22,348.88
Desterro do Melo (MG),73.53,17.7,18.76,373.25
Desterro (PB),68.43,32.4,27.86,247.16
Dezesseis de Novembro (RS),73.55,14.8,13.17,391.3
Diadema (SP),75.65,13.94,4.59,694.55
Diamante D'Oeste (PR),71.57,19,18.29,447.57
Diamante do Norte (PR),74.46,13.4,12.03,619.39
Diamante do Sul (PR),71.62,17.7,21.23,344.73
Diamante (PB),69.89,27.7,32.41,264.08
Diamantina (MG),75.33,14.8,9.97,597.41
Diamantino (MT),74.87,15.6,7.44,681.66
Dianópolis (TO),74.34,15.4,13.68,528.6
Dias D'Ávila (BA),73.66,17.5,8.74,460.6
Dilermando de Aguiar (RS),76.85,10.4,14.6,553.74
Diogo de Vasconcelos (MG),73.63,17.5,18.87,291.48
Dionísio Cerqueira (SC),74.17,14.8,10.92,636.41
Dionísio (MG),74.24,16.5,12.43,461.02
Diorama (GO),75.48,12.5,13.69,494.6
Dirce Reis (SP),75.54,13.9,14.77,570.51
Dirceu Arcoverde (PI),68.06,34.2,31.06,265.3
Divina Pastora (SE),70.17,27,25.21,278.62
Divinésia (MG),72.11,20.2,9.91,441.49
Divino das Laranjeiras (MG),73.64,17.5,19.82,388.4
Divino de São Lourenço (ES),74.16,15.2,16.28,383.78
Divinolândia de Minas (MG),73.72,17.4,15.08,340.1
Divinolândia (SP),75.97,13.3,6.69,707.97
Divino (MG),74.36,16.3,15.04,426.94
Divinópolis de Goiás (GO),73.75,14.9,22.9,388.34
Divinópolis do Tocantins (TO),73.97,16.2,17.65,507.04
Divinópolis (MG),75.63,14.59,3.99,868.57
Divisa Alegre (MG),68.39,27.8,24.22,341.94
Divisa Nova (MG),73.03,18.5,14.92,484.91
Divisópolis (MG),73.1,18.4,27.89,290.45
Dobrada (SP),74.1,16.2,16.01,589.47
Dois Córregos (SP),76.17,13,8.7,727.28
Dois Irmãos das Missões (RS),72.81,15.9,13.2,446.59
Dois Irmãos do Buriti (MS),71.4,24.7,13.69,429.18
Dois Irmãos do Tocantins (TO),73.78,16.6,18.67,245.98
Dois Irmãos (RS),75.87,12.4,2.14,921.37
Dois Lajeados (RS),75.19,13.3,5.4,992.68
Dois Riachos (AL),70.74,27.2,41.98,194.81
Dois Vizinhos (PR),76,11.4,7.06,836.1
Dolcinópolis (SP),74.5,15.5,12.85,620.98
Dom Aquino (MT),73.33,18.1,14.99,575.47
Dom Basílio (BA),71.97,21.7,25.28,240.83
Dom Bosco (MG),73.88,17.1,17.04,394.72
Dom Cavati (MG),72.03,20.3,13.33,485.9
Dom Eliseu (PA),70.8,24.5,19.23,348.04
Dom Expedito Lopes (PI),70.69,25.8,28.61,300.31
Dom Feliciano (RS),74.1,14,13.05,409.72
Domingos Martins (ES),74.98,14.1,11.66,551.74
Domingos Mourão (PI),70.28,27,34.03,240.24
Dom Inocêncio (PI),70.33,26.8,27.09,177.27
Dom Joaquim (MG),74.12,16.7,18.1,355.58
Dom Macedo Costa (BA),72.69,19.9,22.59,329.93
Dom Pedrito (RS),75.88,11.6,6.22,686.15
Dom Pedro de Alcântara (RS),74.21,13.8,5.82,611.05
Dom Pedro (MA),70.52,27.7,26.24,298.33
Dom Silvério (MG),75.8,14.1,10.53,488.84
Dom Viçoso (MG),74.12,16.7,10.79,371.63
Dona Emma (SC),76.71,11.3,4.35,918.49
Dona Eusébia (MG),75.45,14.6,9.2,563.76
Dona Francisca (RS),74.84,13,7.68,698.57
Dona Inês (PB),66.41,39.7,42.98,208.12
Dores de Campos (MG),74.4,16.3,7.5,520.98
Dores de Guanhães (MG),74.26,16.5,20.74,361.09
Dores do Indaiá (MG),75.4,14.7,11.72,663.62
Dores do Rio Preto (ES),73.78,15.8,18.84,414.87
Dores do Turvo (MG),74.75,15.7,16.25,363.3
Doresópolis (MG),77.11,12.3,6.97,461.8
Dormentes (PE),69.46,28.6,28.35,257.72
Douradina (MS),73.52,20.5,11.29,648.98
Douradina (PR),74.07,14,10.06,708.51
Douradoquara (MG),75.84,14.1,7.81,640.34
Dourados (MS),75.59,17,5.92,866.4
Dourado (SP),73.66,16.9,8.24,697.37
Doutor Camargo (PR),75.34,12.3,9.29,639.19
Doutor Maurício Cardoso (RS),75.41,12.2,6.62,652.63
Doutor Pedrinho (SC),75.55,12.8,4.05,679.44
Doutor Ricardo (RS),76.3,11.1,7.67,843.35
Doutor Severiano (RN),69.79,27.3,26.78,272.21
Doutor Ulysses (PR),72.45,16.4,19.21,277.33
Doverlândia (GO),75.4,12.6,16.21,563.89
Dracena (SP),75.51,12.9,6.17,862.86
Duartina (SP),75.24,14.4,7.24,688.4
Duas Barras (RJ),72.39,17.9,12.5,540.35
Duas Estradas (PB),72.72,19.8,32.95,269.85
Dueré (TO),75.77,12.4,13.54,467.9
Dumont (SP),75.91,13.4,7.63,705.3
Duque Bacelar (MA),66.56,41.5,35.1,163.87
Duque de Caxias (RJ),75,14.07,5.28,592.81
Durandé (MG),75.54,14.5,19.45,392.68
Echaporã (SP),75.01,14.7,10.47,703.55
Ecoporanga (ES),74.13,15.3,21.79,406.49
Edealina (GO),73.45,15.4,13.07,715.8
Edéia (GO),74.55,13.8,13.3,876.15
Eirunepé (AM),70.37,24.4,36.14,241.86
Eldorado dos Carajás (PA),70.42,25.6,23.21,281.12
Eldorado do Sul (RS),75.66,11.9,4.44,692
Eldorado (MS),74.45,18.8,15.4,530.89
Eldorado (SP),75.82,13.5,12.19,411
Elesbão Veloso (PI),70.5,26.3,38.2,283.38
Elias Fausto (SP),74.32,15.8,7.85,625.66
Eliseu Martins (PI),69.51,29.4,22.99,370.7
Elisiário (SP),74.51,15.5,10.34,666.93
Elísio Medrado (BA),71.6,22.8,27.36,315.04
Elói Mendes (MG),75.26,14.9,12.07,577.5
Emas (PB),71.38,23.4,32.64,251.41
Embaúba (SP),75.42,14.1,8.55,717.97
Embu-Guaçu (SP),75.01,14.7,6.45,676.52
Embu (SP),75.33,13.09,5.25,622.77
Emilianópolis (SP),73.28,17.5,12.26,584.76
Encantado (RS),76.5,11.6,3.39,931.47
Encanto (RN),72.21,20.5,26.28,312.34
Encruzilhada (BA),70.23,26.7,35.67,220
Encruzilhada do Sul (RS),77.5,9.6,11.46,539
Enéas Marques (PR),75.09,12.6,9.37,948.7
Engenheiro Beltrão (PR),74.21,13.8,10.35,629.05
Engenheiro Caldas (MG),73.91,17.1,19.63,407.77
Engenheiro Coelho (SP),73.87,16.5,9.25,707.37
Engenheiro Navarro (MG),72.44,19.6,18.97,332.37
Engenheiro Paulo de Frontin (RJ),73.32,16.5,6.07,529.05
Engenho Velho (RS),74.23,13.8,11.45,775.44
Entre Folhas (MG),72.5,19.5,15.36,373.1
Entre-Ijuís (RS),74.74,13.1,6.48,594.67
Entre Rios (BA),72.12,21.4,19.69,338.53
Entre Rios de Minas (MG),73.14,18.4,8.51,527.33
Entre Rios do Oeste (PR),74.55,13.3,3.39,1013.75
Entre Rios do Sul (RS),76.4,11,9.64,657.86
Entre Rios (SC),73.46,15.8,16.53,423.63
Envira (AM),68.63,29.6,35.05,204.98
Epitaciolândia (AC),71.27,24.1,17.72,467.83
Equador (RN),70.87,24.1,24.68,292.55
Erebango (RS),75.24,12.4,7.29,583.76
Erechim (RS),74.95,12.8,3.42,1038.39
Ererê (CE),70.23,25.8,32.69,246.27
Érico Cardoso (BA),70.47,26,32.52,258.28
Ermo (SC),73.5,15.8,6.37,655.45
Ernestina (RS),76.25,11.1,6.55,634.28
Erval Grande (RS),78.12,9,12.62,677.58
Ervália (MG),74.7,15.8,16.09,429.35
Erval Seco (RS),74.28,13.8,12.53,505.57
Erval Velho (SC),77.07,10.8,8.08,780.33
Escada (PE),71.83,21.7,23.22,322.46
Esmeralda (RS),74.64,13.2,8.69,514.34
Esmeraldas (MG),74.31,16.4,9.28,452.62
Espera Feliz (MG),75.77,14.2,14.82,496.04
Esperança do Sul (RS),72.25,16.8,10.63,502.89
Esperança Nova (PR),72.94,16.7,12.07,584.46
Esperança (PB),71.04,24.3,27.75,330.66
Esperantina (PI),71.15,24.4,31.21,293.39
Esperantina (TO),67.92,33.3,24.93,174.51
Esperantinópolis (MA),67.76,37,33.66,262.41
Espigão Alto do Iguaçu (PR),71.86,18.4,15.18,409.12
Espigão D'Oeste (RO),74.15,15.4,12.18,590.8
Espinosa (MG),73.26,18.2,25.32,299.13
Espírito Santo do Dourado (MG),75.81,14.1,11.87,486.55
Espírito Santo do Pinhal (SP),77.31,11.4,6.02,1048.6
Espírito Santo do Turvo (SP),74.12,16.1,9.55,533.76
Espírito Santo (RN),69.88,27,41.45,243.23
Esplanada (BA),69.38,29.3,23.54,312.58
Espumoso (RS),78.04,9.7,7.94,834.66
Estação (RS),75.55,12.8,3.58,862.69
Estância (SE),71.94,22,19.3,395.41
Estância Velha (RS),78.23,9.5,2.77,848.45
Esteio (RS),75.57,12,2.77,955.86
Estiva Gerbi (SP),73.87,16.5,5.71,686.89
Estiva (MG),75.9,14,9.72,547.01
Estreito (MA),73.02,20.6,16.18,503.29
Estrela Dalva (MG),77.04,12.4,17.54,701.83
Estrela de Alagoas (AL),68.19,35.6,43.59,196.92
Estrela D'Oeste (SP),77.4,11.3,8.65,670.65
Estrela do Indaiá (MG),77.49,11.8,14.35,547.21
Estrela do Norte (GO),75.85,12,16.58,636.54
Estrela do Norte (SP),74.1,16.2,10.02,597.74
Estrela do Sul (MG),75.4,14.7,12.13,600.41
Estrela (RS),75.97,12.2,2.55,1002.78
Estrela Velha (RS),72.5,16.4,9.62,650.28
Euclides da Cunha (BA),69.94,27.6,29.67,269.58
Euclides da Cunha Paulista (SP),73.13,17.8,14.85,493.91
Eugênio de Castro (RS),78.11,9,6.85,613.5
Eugenópolis (MG),75.77,14.2,12.76,486.46
Eunápolis (BA),72.46,20.5,15.86,575.44
Eusébio (CE),72.66,19.2,14.53,623.01
Ewbank da Câmara (MG),74.37,16.3,11.14,391.34
Extrema (MG),75.95,13.9,6.6,745.21
Extremoz (RN),73.5,17.3,18.42,428.65
Exu (PE),71.47,22.7,27.3,234.83
Fagundes (PB),69.91,27.7,34.9,235.02
Fagundes Varela (RS),76.14,11.3,4.21,981.99
Faina (GO),72.94,16.1,19.59,441.39
Fama (MG),76.77,12.7,10.51,624.24
Faria Lemos (MG),73,18.6,15.3,544.77
Farias Brito (CE),71.41,22.5,30.03,231.88
Farol (PR),74.1,13.9,16.16,521.09
Faro (PA),70.35,25.8,11.68,180.47
Farroupilha (RS),76.68,11.3,2.7,1045.05
Fartura do Piauí (PI),69.25,30.2,36.24,186.85
Fartura (SP),77.02,11.8,6.7,618.77
Fátima (BA),66.16,40.7,38.1,250.6
Fátima do Sul (MS),73.92,19.7,12.53,701.87
Fátima (TO),73.75,16.7,16.26,464.94
Faxinal dos Guedes (SC),76.78,11.2,7.45,828.49
Faxinal do Soturno (RS),76.21,11.2,5.43,760.86
Faxinal (PR),72.75,17,14.38,612.79
Faxinalzinho (RS),73.03,15.6,10.18,445.67
Fazenda Nova (GO),74.87,13.4,16.11,519.87
Fazenda Rio Grande (PR),75.84,11.6,4.8,677.31
Fazenda Vilanova (RS),75.45,12.2,6.37,734.82
Feijó (AC),68.35,33.2,37.81,259.43
Feira da Mata (BA),70.77,25.1,24.43,212.22
Feira de Santana (BA),74.2,15.64,9.59,662.24
Feira Grande (AL),69.17,32.2,42.12,193.07
Feira Nova do Maranhão (MA),68.73,33.6,22.02,192.39
Feira Nova (PE),73.43,17.7,31.54,296.5
Feira Nova (SE),71.39,23.5,32.77,238.42
Felício dos Santos (MG),72.61,19.3,19.11,274.2
Felipe Guerra (RN),71.1,23.5,22.7,298.6
Felisburgo (MG),69.66,25,30.06,290.8
Felixlândia (MG),73.9,17.1,10.96,459.52
Feliz Deserto (AL),67.46,38.2,36.39,245.49
Feliz Natal (MT),74.13,16.8,9.41,786.26
Feliz (RS),75.8,12.5,0.97,897.05
Fênix (PR),74.51,13.4,14.38,514.41
Fernandes Pinheiro (PR),72.48,17.4,10.7,446.98
Fernandes Tourinho (MG),73.43,17.9,23.73,351.58
Fernando de Noronha (PE),75.36,13.4,5.1,1034.14
Fernando Falcão (MA),68.67,33.8,41.64,106.99
Fernando Pedroza (RN),68.62,31,31.53,269.67
Fernandópolis (SP),77.31,12.82,6.2,944
Fernando Prestes (SP),76.55,11.5,8.22,832.72
Fernão (SP),75.55,13.9,9.1,510.09
Ferraz de Vasconcelos (SP),74.65,15.49,5.23,587.83
Ferreira Gomes (AP),74.2,14.3,14.74,416.72
Ferreiros (PE),72.24,20.6,30.41,311.83
Ferros (MG),74.24,16.5,23.1,392.08
Fervedouro (MG),72.73,19.1,16.12,301.55
Figueirão (MS),74.79,18.2,11.39,541.93
Figueira (PR),73.05,16.5,15.23,551.93
Figueirópolis D'Oeste (MT),72.16,20.2,13.75,502.34
Figueirópolis (TO),74.32,15.4,18.02,498.31
Filadélfia (BA),68.56,32,24.23,250.08
Filadélfia (TO),72.52,19.7,20.87,291.57
Firmino Alves (BA),66.93,37.8,25.38,325.51
Firminópolis (GO),75.27,12.8,11.49,552.43
Flexeiras (AL),66.59,41.6,35.45,213.44
Floraí (PR),76.15,11.2,8.71,792.48
Florânia (RN),71.51,22.3,24.75,359
Flora Rica (SP),72.74,18.5,15.48,511.8
Flor da Serra do Sul (PR),74.97,12.7,12.07,549.7
Flor do Sertão (SC),72.52,17.3,12.87,778.06
Floreal (SP),73.49,17.2,9.18,663.83
Flores da Cunha (RS),75.95,11.5,3.3,1062.06
Flores de Goiás (GO),72.96,16.1,18.61,301.92
Flores do Piauí (PI),67.26,37.1,34.65,210.02
Flores (PE),69.67,27.9,35.34,236.31
Floresta Azul (BA),68.88,30.9,30.89,242.04
Floresta do Araguaia (PA),72.52,19.9,20.37,283.57
Floresta do Piauí (PI),70.2,27.2,43.61,216.87
Florestal (MG),75.69,14.3,6.93,741.46
Floresta (PE),71.52,22.6,19.89,310.39
Floresta (PR),73.93,14.2,7.5,649.71
Florestópolis (PR),73.44,14.9,13.73,555.82
Floriano Peixoto (RS),76.23,11.2,4.61,626.67
Floriano (PI),73.13,19.1,14.08,536.3
Florianópolis (SC),77.35,10.81,2.14,1798.12
Flórida Paulista (SP),73.44,17.3,10.86,632.97
Flórida (PR),73.96,15.1,9.66,652.52
Florínia (SP),74.19,16,9.88,544.03
Fonte Boa (AM),68.13,31.3,26.62,200.4
Fontoura Xavier (RS),73.69,14.6,18.83,511.46
Formiga (MG),77.43,11.8,6.48,746.8
Formigueiro (RS),75.3,12.4,11.92,586.75
Formosa da Serra Negra (MA),71.41,25,20.43,163.15
Formosa do Oeste (PR),75.17,12.5,10.91,593.44
Formosa do Rio Preto (BA),70.8,25,24.34,287.94
Formosa do Sul (SC),75.71,12.6,8.23,744.5
Formosa (GO),76.14,10.26,9.24,732.24
Formoso do Araguaia (TO),73.05,18.4,13.93,429.17
Formoso (GO),75.03,13.1,14.13,569.96
Formoso (MG),75.04,15.3,21.35,370.41
Forquetinha (RS),78.13,8.9,6.93,812.72
Forquilha (CE),70.62,24.7,28.19,300.9
Forquilhinha (SC),76.64,11.4,4.12,870.85
Fortaleza (CE),74.41,15.76,7.3,846.36
Fortaleza de Minas (MG),73.31,18.1,9.63,562.53
Fortaleza dos Nogueiras (MA),71.38,25.1,17.7,271.6
Fortaleza dos Valos (RS),75.23,12.4,6.74,1021.84
Fortaleza do Tabocão (TO),73.5,17.3,18.97,370
Fortim (CE),69.06,29.4,29.25,264.14
Fortuna de Minas (MG),75.7,14.3,9.19,459.52
Fortuna (MA),67.33,38.6,33.4,257.81
Foz do Iguaçu (PR),76.46,10.83,6.04,842.26
Foz do Jordão (PR),74.7,13.1,11.79,467.65
Fraiburgo (SC),76.58,11.5,7.13,673.84
Franca (SP),75.5,14.3,3.62,846.57
Francinópolis (PI),68.31,33.3,37.16,206.73
Francisco Alves (PR),72.16,17.9,17.17,512.87
Francisco Ayres (PI),70.38,26.7,32.47,268.41
Francisco Badaró (MG),72.57,19.4,24.06,286.56
Francisco Beltrão (PR),75.65,11.7,6.06,895.36
Francisco Dantas (RN),68.91,30,30.86,298.43
Francisco Dumont (MG),72.8,19,20.46,326.7
Francisco Macedo (PI),67.06,37.8,38.42,273.23
Francisco Morato (SP),73.91,16.5,7.45,483.98
Franciscópolis (MG),73.14,18.4,33.19,296.76
Francisco Sá (MG),73.48,17.8,22.58,344.32
Francisco Santos (PI),70.21,27.2,29.79,330.49
Franco da Rocha (SP),76.09,13.1,6.33,632.42
Frecheirinha (CE),69.78,27.2,36.5,246.03
Frederico Westphalen (RS),75.76,12.5,5.08,875.03
Frei Gaspar (MG),72.96,18.7,31.04,275.62
Frei Inocêncio (MG),71.72,20.9,19.13,389.61
Frei Lagonegro (MG),69.96,24.4,24.3,201.83
Frei Martinho (PB),71.18,23.9,31.7,405.38
Frei Miguelinho (PE),70.47,25.5,33.53,286.08
Frei Paulo (SE),71.09,24.3,28.51,386.65
Frei Rogério (SC),73.74,15.4,8.82,498.33
Fronteira dos Vales (MG),73.8,17.3,33.76,255.11
Fronteira (MG),77.28,12,11.17,598.68
Fronteiras (PI),69.86,28.3,30.88,380.62
Fruta de Leite (MG),72.5,19.5,37.41,241.93
Frutal (MG),76.92,12.5,6.86,752.01
Frutuoso Gomes (RN),69.24,29,27.4,269.48
Fundão (ES),75.34,13.6,9.92,657.18
Funilândia (MG),75.66,14.3,13.96,360.59
Gabriel Monteiro (SP),73.54,17.1,9.16,712.72
Gado Bravo (PB),69.22,29.8,35.72,170.29
Gália (SP),74.36,15.7,11.2,565.41
Galiléia (MG),72.71,19.1,20.79,442.14
Galinhos (RN),68.39,31.8,28.62,291.78
Galvão (SC),73.91,15.2,15.28,638.12
Gameleira de Goiás (GO),74.68,13.6,13.11,594.56
Gameleira (PE),70.54,25.3,29.02,231.5
Gameleiras (MG),72.74,19,27.77,258.85
Gandu (BA),71.26,23.7,24.57,442.37
Garanhuns (PE),72.69,19.5,18.69,492.44
Gararu (SE),71.95,22,33.09,236.06
Garça (SP),75.93,13.3,7.76,786.83
Garibaldi (RS),76.35,11,2.75,1355.37
Garopaba (SC),77.07,10.8,8.77,784.88
Garrafão do Norte (PA),70.75,24.7,33.1,229.91
Garruchos (RS),74.96,12.8,13.02,476.17
Garuva (SC),74.82,13.8,5.99,691.98
Gaspar (SC),78.34,9.3,2.58,964.36
Gastão Vidigal (SP),74.03,16.3,9.97,736.47
Gaúcha do Norte (MT),75.79,14.2,23.28,481.01
Gaurama (RS),76.09,12.1,4.24,765.58
Gavião (BA),69.79,28,28.38,271.53
Gavião Peixoto (SP),73.14,17.8,9.54,575.08
Geminiano (PI),70.32,26.9,37.6,208.67
General Câmara (RS),74.92,12.8,10.12,640.45
General Carneiro (MT),74.17,16.7,13.23,441.94
General Carneiro (PR),73.95,14.2,10.78,423.27
General Maynard (SE),71.53,23.1,16.54,354.58
General Salgado (SP),73.5,17.2,8.46,771.92
General Sampaio (CE),69.65,27.5,35.49,242.1
Gentil (RS),76.76,10.5,8.02,662.04
Gentio do Ouro (BA),69.57,28.7,27.49,207.35
Getulina (SP),73.76,16.7,9.54,608.58
Getúlio Vargas (RS),75.55,12.8,4.31,837.17
Gilbués (PI),70.18,27.3,24.86,285.45
Girau do Ponciano (AL),70.72,27.2,39.16,177.55
Giruá (RS),75.52,12.1,7.09,653.18
Glaucilândia (MG),73.72,17.4,14,293.97
Glicério (SP),76.47,12.6,9.46,777.37
Glória (BA),71.51,23,30.18,266.14
Glória de Dourados (MS),74.29,19,11.9,644.1
Glória D'Oeste (MT),74.4,16.3,13.97,564.35
Glória do Goitá (PE),70.88,24.3,32.23,278.33
Glorinha (RS),76.54,10.8,8.46,686.99
Godofredo Viana (MA),70.02,29.3,18.43,225.47
Godoy Moreira (PR),74.66,13.2,16.54,434.45
Goiabeira (MG),72.91,18.8,23.95,398.14
Goianá (MG),75.1,15.2,11.15,558.09
Goiana (PE),71.75,21.9,19.67,364.77
Goianápolis (GO),74.47,13.9,17.55,543.48
Goiandira (GO),75.93,12,8.83,667.11
Goianésia do Pará (PA),69.58,28.2,24.42,303.9
Goianésia (GO),75.39,12.6,10.68,701.38
Goiânia (GO),75.28,13.11,3.46,1348.55
Goianinha (RN),72,21,25.67,377.59
Goianira (GO),74.87,13.3,8.83,529.59
Goianorte (TO),73.31,17.7,17.96,329.64
Goiás (GO),73.27,17.5,13.94,674.54
Goiatins (TO),70.87,24.1,27.64,232.19
Goiatuba (GO),74.47,10.98,10,785.84
Goioerê (PR),75.97,11.5,11.35,707.58
Goioxim (PR),73.75,14.4,13.97,320.16
Gonçalves Dias (MA),70.46,27.9,37.49,233.2
Gonçalves (MG),74.96,15.4,14.08,519.03
Gongogi (BA),71.37,23.4,30.78,234.7
Gonzaga (MG),71.44,21.4,21.28,258.04
Gouveia (MG),74.98,15.4,9.11,382.78
Gouvelândia (GO),73.36,15.5,19.22,549.9
Governador Archer (MA),66.21,42.9,34.14,237.47
Governador Celso Ramos (SC),77.21,10.7,8.2,784.5
Governador Dix-Sept Rosado (RN),70.52,25.1,25.67,267.12
Governador Edison Lobão (MA),70.84,26.7,21.35,312.56
Governador Eugênio Barros (MA),69.15,32.2,38.64,245.38
Governador Jorge Teixeira (RO),70.71,23.9,14.64,396.36
Governador Lindenberg (ES),74.35,15,12.2,515.11
Governador Luiz Rocha (MA),66.51,41.8,33.5,188.68
Governador Mangabeira (BA),70.26,26.6,18.8,322.02
Governador Newton Bello (MA),68.07,35.9,39.63,190.15
Governador Nunes Freire (MA),68.29,35.1,27.87,230.94
Governador Valadares (MG),75.06,14.66,8.06,678.74
Graça Aranha (MA),69.86,29.8,32.07,227.51
Graça (CE),70.28,25.6,39.57,195.67
Gracho Cardoso (SE),68.76,31.5,32.55,264.86
Grajaú (MA),70.21,28.7,24.13,340.1
Gramado dos Loureiros (RS),74.91,12.9,13.96,491.1
Gramado (RS),76.64,10.6,2.96,1045.52
Gramado Xavier (RS),72.5,16.4,10.6,552.44
Grandes Rios (PR),72.92,15.7,19.39,455.19
Granito (PE),71.4,22.9,29.31,234.9
Granja (CE),71.68,21.7,42.37,173.99
Granjeiro (CE),67.88,33.3,33.66,221.14
Grão Mogol (MG),72.44,19.6,20.67,293.87
Grão Pará (SC),75.76,12.5,5.16,845.01
Gravataí (RS),76.74,11.3,3.35,737.29
Gravatal (SC),77.64,10.2,5.77,730.8
Gravatá (PE),72.63,19.6,23.77,402.96
Groaíras (CE),68.41,31.5,27.56,304.64
Grossos (RN),72.39,20,27.26,410.84
Grupiara (MG),75.64,14.4,8.27,548.38
Guabiju (RS),76.4,11.7,4.77,1408.71
Guabiruba (SC),77.53,10.3,2.89,851.75
Guaçuí (ES),75.73,13.1,13.66,587.91
Guadalupe (PI),72.65,20.3,20.01,426.79
Guaíba (RS),74.99,12.8,4.05,758.83
Guaiçara (SP),76.16,13,7.03,610.2
Guaimbê (SP),74.77,15.1,11.98,532.14
Guairaçá (PR),74.74,13.1,15.1,614.06
Guaíra (PR),75.17,12.5,10.1,795.84
Guaíra (SP),74.46,15.6,5.87,901.23
Guaiúba (CE),71.05,23.4,25.12,239.69
Guajará (AM),70.7,23.5,35.2,191.04
Guajará-Mirim (RO),74.39,14.8,8.7,494.69
Guajeru (BA),71.2,23.9,32.39,241.69
Guamaré (RN),71.13,23.4,24.47,407.49
Guamiranga (PR),73.26,15.2,7.92,478.34
Guanambi (BA),72.33,20.8,16.52,496.05
Guanhães (MG),74.22,16.6,12.88,560.99
Guapé (MG),74.86,15.6,9.1,487.68
Guapiaçu (SP),76.93,11.9,7.39,741.42
Guapiara (SP),73.37,17.4,13.77,412.51
Guapimirim (RJ),73.69,16.72,8,594.06
Guapirama (PR),73.32,15.1,13.53,505.91
Guapó (GO),74.58,13.8,11.51,657.02
Guaporema (PR),73.47,14.8,13.07,572.72
Guaporé (RS),75.22,12.5,3.93,1035.41
Guarabira (PB),73.73,17.3,21.61,430.83
Guaraçaí (SP),73.2,17.7,9.42,619.41
Guaraciaba do Norte (CE),71.57,22,31.35,247.55
Guaraciaba (MG),72.61,19.3,18.89,373.48
Guaraciaba (SC),77.28,10.6,6.97,873.67
Guaraciama (MG),73.4,17.9,18.93,306.99
Guaraci (PR),74.27,13.7,12.06,595.93
Guaraci (SP),75.37,14.2,8.78,615.78
Guaraíta (GO),73.95,14.6,11.4,421.71
Guaraí (TO),75.35,13.3,12.1,722.83
Guaramiranga (CE),69.14,29.1,19.47,287.35
Guaramirim (SC),78.08,9.6,3.01,842.24
Guaranésia (MG),75.7,14.3,11.95,598.17
Guaraniaçu (PR),75.44,12.1,11.66,614.94
Guarani das Missões (RS),76.75,10.5,5.1,615.87
Guarani de Goiás (GO),73.81,14.8,24.46,276.13
Guarani D'Oeste (SP),73.34,17.4,11.69,557.58
Guarani (MG),75.96,13.9,12.5,568.73
Guarantã do Norte (MT),74.58,16,8.13,594.14
Guarantã (SP),74.93,14.8,10.59,615.97
Guarapari (ES),75.21,14.43,6.97,830.51
Guarapuava (PR),76.2,10.04,6.42,750.09
Guaraqueçaba (PR),72.54,16.2,16.02,307.8
Guarará (MG),73.1,18.4,9.19,457.9
Guararapes (SP),75.39,14.1,7.12,739.89
Guararema (SP),74.03,16.3,7.65,748.79
Guará (SP),74.55,15.4,10.11,664.56
Guaratinga (BA),70.95,24.6,37.26,258.74
Guaratinguetá (SP),78.17,8.72,3.04,926.78
Guaratuba (PR),74.66,13.2,5.8,782.92
Guarda-Mor (MG),74.76,15.7,11.39,660.72
Guareí (SP),73.27,17.5,8.22,594.42
Guaribas (PI),67.63,35.7,39.24,162.06
