;NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_COR_RACA;TP_ESCOLA;SG_UF_PROVA;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;NU_NOTA_REDACAO;Q001;Q002;Q006;Q012;Q019;Q025
44;210059532791;2023;2;M;Parda;Pública;RJ;553.0;562.6;476.7;668.5;580.0;C;E;B;Sim, uma;Sim, duas;Sim
45;210060530353;2023;5;F;Branca;Não Respondeu;RJ;521.2;606.5;553.6;578.4;780.0;E;E;K;Sim, uma;Sim, duas;Sim
46;210058047209;2023;3;M;Preta;Privada;DF;612.6;703.2;566.8;729.8;840.0;E;G;H;Sim, uma;Sim, duas;Sim
47;210058269479;2023;8;M;Preta;Não Respondeu;RN;400.6;513.2;548.5;583.1;640.0;C;E;B;Sim, uma;Sim, uma;Sim
48;210059090440;2023;11;F;Branca;Não Respondeu;SP;664.8;613.0;622.4;703.9;620.0;D;D;I;Sim, uma;Sim, duas;Sim
49;210058795670;2023;5;F;Branca;Não Respondeu;SC;;;;;;B;C;E;Sim, uma;Sim, uma;Sim
50;210058790200;2023;9;F;Parda;Não Respondeu;PE;;;;;;G;E;K;Sim, uma;Sim, duas;Sim
51;210059569302;2023;6;M;Branca;Não Respondeu;SP;497.7;598.2;581.5;729.6;620.0;G;G;E;Sim, uma;Sim, uma;Sim
52;210061540695;2023;1;F;Branca;Não Respondeu;SP;515.4;544.8;545.4;649.5;880.0;E;F;G;Sim, uma;Sim, uma;Sim
53;210060672685;2023;2;M;Branca;Privada;SP;605.0;652.2;531.8;612.0;800.0;F;E;J;Sim, uma;Sim, duas;Sim
54;210060120235;2023;3;F;Parda;Privada;BA;383.9;474.1;356.8;347.5;660.0;B;C;B;Sim, uma;Sim, uma;Não
55;210061879680;2023;1;F;Branca;Não Respondeu;PR;509.5;439.4;534.1;605.7;720.0;F;E;E;Sim, uma;Sim, uma;Sim
56;210059163485;2023;7;F;Branca;Não Respondeu;PE;;;;;;C;E;D;Sim, uma;Sim, uma;Sim
57;210060555548;2023;3;M;Amarela;Pública;RJ;;;;;;D;E;B;Sim, uma;Sim, uma;Sim
58;210061175133;2023;4;F;Branca;Pública;RJ;;;;;;E;E;B;Sim, uma;Sim, uma;Sim
59;210060291050;2023;5;F;Parda;Não Respondeu;RS;536.1;583.0;561.3;511.4;800.0;E;E;D;Sim, uma;Sim, duas;Sim
60;210058401601;2023;2;F;Branca;Não Respondeu;SP;497.5;340.8;555.1;514.7;340.0;B;E;D;Sim, uma;Sim, uma;Sim
61;210058738651;2023;3;F;Parda;Pública;CE;532.7;562.9;526.2;508.7;760.0;D;B;D;Sim, uma;Sim, uma;Sim
62;210060805089;2023;16;F;Parda;Não Respondeu;PB;;;;;;B;B;D;Sim, uma;Sim, uma;Sim
63;210059810725;2023;9;M;Branca;Não Respondeu;PE;;;;;;C;A;E;Sim, uma;Sim, uma;Sim
64;210062052183;2023;2;F;Branca;Não Respondeu;PA;447.0;569.0;554.5;404.6;700.0;F;F;P;Sim, três;Sim, quatro ou mais;Sim
65;210061602544;2023;11;M;Parda;Não Respondeu;RJ;580.5;598.3;539.3;560.9;540.0;E;E;E;Sim, uma;Sim, uma;Sim
66;210058507617;2023;3;M;Branca;Não Respondeu;MS;550.5;555.6;582.1;512.2;600.0;F;E;D;Sim, duas;Não;Sim
67;210061848425;2023;10;M;Preta;Não Respondeu;GO;658.0;644.5;548.6;743.8;920.0;E;E;C;Sim, uma;Sim, uma;Sim
68;210059287744;2023;3;F;Branca;Pública;PE;;;;;;B;B;B;Sim, uma;Sim, uma;Sim
69;210059551817;2023;6;M;Branca;Não Respondeu;DF;640.9;636.0;637.1;770.5;820.0;F;G;G;Sim, uma;Sim, duas;Sim
70;210061315328;2023;4;M;Preta;Pública;MA;;305.1;326.8;;440.0;H;B;C;Sim, uma;Sim, uma;Sim
71;210059310938;2023;8;F;Preta;Não Respondeu;MG;;;;;;B;B;E;Sim, uma;Sim, uma;Sim
72;210059815287;2023;1;M;Branca;Não Respondeu;PE;;;;;;E;E;A;Sim, uma;Sim, uma;Sim
73;210059666252;2023;9;M;Branca;Não Respondeu;PR;338.9;463.8;481.4;395.4;240.0;B;B;D;Sim, uma;Sim, uma;Sim
74;210060047088;2023;10;M;Branca;Não Respondeu;BA;467.2;637.1;656.1;588.1;780.0;E;E;B;Sim, uma;Sim, uma;Sim
75;210061107801;2023;2;F;Branca;Pública;RJ;442.4;513.0;489.0;590.7;620.0;D;E;C;Sim, uma;Sim, duas;Sim
76;210058240426;2023;3;F;Parda;Não Respondeu;MT;;;;;;B;B;E;Sim, uma;Sim, uma;Sim
77;210059120421;2023;11;M;Branca;Não Respondeu;SP;694.5;718.5;730.4;763.9;940.0;F;E;K;Sim, duas;Sim, duas;Sim
78;210059005441;2023;3;F;Parda;Pública;SP;333.0;428.9;459.5;448.9;500.0;C;E;B;Sim, uma;Sim, uma;Sim
79;210058599055;2023;4;F;Branca;Pública;RJ;541.4;530.3;557.1;560.1;720.0;E;F;I;Sim, uma;Sim, duas;Sim
80;210059349048;2023;10;M;Branca;Não Respondeu;SP;;;;;;D;F;C;Sim, uma;Sim, uma;Sim
81;210061568184;2023;5;M;Branca;Não Respondeu;MS;575.6;754.6;593.7;731.0;560.0;G;G;Q;Sim, duas;Sim, duas;Sim
82;210061446477;2023;1;F;Branca;Não Respondeu;MA;525.6;497.7;453.8;537.7;920.0;E;G;D;Sim, uma;Sim, duas;Sim
83;210061707103;2023;3;M;Branca;Privada;CE;448.3;390.9;379.6;396.3;520.0;C;F;H;Sim, duas;Sim, três;Sim
84;210061320916;2023;4;M;Branca;Não Respondeu;MA;555.6;429.0;457.5;566.7;800.0;B;E;D;Sim, uma;Sim, uma;Sim
85;210061241212;2023;5;F;Parda;Não Respondeu;MA;500.3;581.9;610.7;454.0;920.0;E;F;C;Sim, uma;Sim, uma;Sim
86;210059497993;2023;17;F;Branca;Não Respondeu;RS;;;;;;C;D;G;Sim, uma;Sim, três;Sim
87;210059230636;2023;5;M;Branca;Não Respondeu;ES;594.0;627.5;582.9;745.1;840.0;F;G;F;Sim, uma;Sim, uma;Sim
88;210058731366;2023;2;M;Branca;Pública;RS;513.5;507.0;509.1;472.2;0.0;D;E;G;Sim, uma;Sim, uma;Sim
89;210061739192;2023;1;F;Branca;Não Respondeu;SP;463.0;552.5;540.1;556.3;580.0;C;E;B;Sim, uma;Sim, uma;Sim
90;210059016301;2023;3;M;Branca;Pública;CE;517.4;505.9;553.2;585.0;620.0;H;H;B;Sim, uma;Sim, uma;Sim
91;210060880586;2023;11;F;Preta;Não Respondeu;ES;;;;;;C;D;C;Sim, uma;Sim, uma;Sim
92;210061181193;2023;3;M;Branca;Pública;GO;;;;;;H;C;C;Sim, uma;Sim, uma;Sim
93;210060686198;2023;4;F;Branca;Não Respondeu;MG;801.1;711.5;691.0;902.0;900.0;G;G;K;Sim, duas;Sim, três;Sim
94;210060541392;2023;12;F;Parda;Não Respondeu;SE;;;;;;B;B;B;Sim, uma;Sim, uma;Sim
95;210058465173;2023;2;M;Branca;Não Respondeu;SP;447.6;513.5;511.2;425.8;500.0;C;C;P;Sim, uma;Sim, duas;Sim
96;210061933144;2023;1;M;Parda;Não Respondeu;SP;;;;;;F;E;H;Sim, uma;Sim, três;Sim
97;210060535054;2023;12;F;Branca;Não Respondeu;MT;;;;;;G;F;D;Sim, uma;Sim, uma;Sim
98;210059638552;2023;10;F;Parda;Não Respondeu;AL;435.0;387.6;532.2;484.1;440.0;D;D;C;Sim, uma;Sim, uma;Sim
99;210058636881;2023;8;F;Parda;Não Respondeu;BA;;;;;;E;B;C;Sim, uma;Sim, uma;Sim
100;210059276158;2023;3;F;Branca;Pública;MS;;;;;;F;E;I;Sim, uma;Sim, uma;Sim
101;210058340147;2023;3;F;Branca;Pública;RS;;;;;;B;H;E;Sim, uma;Sim, uma;Sim
102;210060614313;2023;3;M;Parda;Pública;MA;510.8;473.8;448.0;562.0;720.0;E;E;D;Sim, uma;Sim, uma;Sim
103;210058729710;2023;5;M;Branca;Não Respondeu;SC;519.8;545.6;592.3;618.2;540.0;B;B;B;Sim, uma;Sim, uma;Sim
104;210061115920;2023;9;F;Parda;Não Respondeu;DF;568.5;584.2;594.4;653.0;660.0;F;F;I;Sim, duas;Sim, três;Sim
105;210061260375;2023;4;M;Preta;Não Respondeu;RJ;;;;;;E;E;B;Sim, uma;Sim, uma;Sim
106;210059085631;2023;2;F;Branca;Não Respondeu;SP;552.6;587.7;616.5;705.8;680.0;F;G;O;Sim, uma;Sim, três;Sim
107;210059417367;2023;11;M;Preta;Não Respondeu;PA;;596.8;497.7;;600.0;A;E;C;Sim, uma;Sim, uma;Sim
108;210061356507;2023;3;F;Parda;Não Respondeu;PE;449.1;489.6;316.8;523.4;640.0;C;F;C;Sim, uma;Sim, uma;Sim
109;210058073068;2023;10;F;Parda;Não Respondeu;MA;395.2;449.4;457.5;408.3;420.0;B;B;B;Sim, uma;Sim, uma;Não
110;210058633338;2023;18;F;Preta;Não Respondeu;SP;392.5;510.6;442.8;394.0;500.0;H;A;B;Sim, uma;Sim, uma;Não
111;210060002144;2023;2;F;Branca;Pública;RJ;460.1;501.7;562.2;507.1;600.0;F;G;H;Sim, uma;Sim, duas;Sim
112;210058983546;2023;14;F;Branca;Não Respondeu;MS;;;;;;B;B;F;Sim, uma;Sim, uma;Sim
113;210060556562;2023;2;F;Branca;Pública;MT;574.0;570.1;581.2;622.0;580.0;D;G;G;Sim, uma;Sim, uma;Sim
114;210059124798;2023;5;M;Parda;Não Respondeu;MG;;;;;;E;G;E;Sim, uma;Sim, duas;Sim
115;210058275426;2023;3;F;Parda;Pública;CE;412.4;421.0;464.0;431.7;800.0;H;H;B;Sim, uma;Sim, uma;Sim
116;210061724476;2023;4;M;Branca;Não Respondeu;PA;360.5;480.1;448.4;446.2;480.0;E;E;D;Sim, uma;Sim, uma;Sim
117;210059411682;2023;2;M;Parda;Não Respondeu;BA;;446.5;440.9;;420.0;E;E;C;Sim, uma;Sim, duas;Sim
118;210058201398;2023;3;M;Parda;Privada;ES;448.0;522.0;463.4;527.0;700.0;G;G;M;Sim, uma;Sim, quatro ou mais;Sim
119;210061600523;2023;5;F;Preta;Não Respondeu;PE;382.4;424.5;436.4;357.3;400.0;A;C;A;Sim, uma;Sim, uma;Não
120;210058373534;2023;2;M;Branca;Não Respondeu;PE;551.5;613.6;563.4;659.0;840.0;F;B;C;Sim, uma;Sim, duas;Sim
121;210059652065;2023;7;M;Parda;Não Respondeu;RJ;;;;;;D;D;G;Sim, uma;Sim, duas;Sim
122;210061744359;2023;13;F;Parda;Não Respondeu;AL;;;;;;B;C;B;Sim, uma;Sim, duas;Sim
123;210059129926;2023;4;M;Parda;Não Respondeu;MS;573.3;511.5;595.2;638.5;480.0;H;E;B;Sim, uma;Sim, uma;Sim
124;210059379799;2023;9;F;Parda;Não Respondeu;RN;;;;;;C;E;A;Sim, uma;Sim, uma;Sim
125;210058246271;2023;1;F;Preta;Não Respondeu;MA;464.1;535.9;542.4;436.1;840.0;E;E;B;Sim, uma;Sim, uma;Sim
126;210061835693;2023;11;F;Branca;Não Respondeu;RR;;;;;;E;E;G;Sim, uma;Sim, três;Sim
127;210059695935;2023;13;F;Preta;Não Respondeu;BA;;;;;;B;C;C;Sim, uma;Sim, uma;Sim
128;210059758148;2023;1;M;Branca;Não Respondeu;BA;343.6;488.6;373.3;687.8;760.0;D;F;H;Sim, uma;Sim, uma;Sim
129;210060156333;2023;5;M;Branca;Não Respondeu;MA;488.0;475.0;431.6;349.8;0.0;C;C;A;Sim, duas;Sim, uma;Sim
130;210058058434;2023;13;M;Parda;Pública;CE;;;;;;B;B;B;Sim, uma;Sim, uma;Não
131;210060637400;2023;3;F;Indígena;Pública;AM;388.5;348.6;394.4;378.3;440.0;B;E;B;Sim, uma;Sim, uma;Sim
132;210060982391;2023;8;M;Branca;Não Respondeu;MG;435.6;510.9;485.2;506.6;720.0;A;D;D;Sim, uma;Sim, uma;Sim
133;210061480059;2023;4;M;Preta;Privada;PE;381.2;469.5;406.3;388.7;220.0;A;G;J;Sim, duas;Sim, três;Sim
134;210060082459;2023;5;F;Amarela;Não Respondeu;CE;;;;;;F;E;C;Sim, uma;Não;Sim
135;210058679551;2023;13;M;Branca;Não Respondeu;MG;;;;;;D;E;B;Sim, uma;Não;Sim
136;210058742215;2023;3;F;Parda;Pública;SP;657.3;640.2;676.9;777.3;680.0;D;E;C;Sim, uma;Sim, uma;Sim
137;210058510961;2023;4;M;Branca;Pública;MG;476.2;551.8;489.8;620.4;900.0;C;D;C;Sim, uma;Sim, uma;Sim
